H(1);434.0462;0.0253;105291.6587;0
H(1);486.1279;0.1719;102823.8942;1.5
H(1);486.1287;0.0967;102823.8943;1.5
H(1);486.1362;0.2063;102823.9095;1.5
H(1);656.2711;0.5388;97492.3195;1.5
H(1);656.2725;0.2245;97492.3196;1.5
H(1);656.2852;0.6465;97492.3556;2.5
H(1);1281.807;0.022;105291.6587;0
H(1);1875.101;0.0899;102823.9002;0
He(1);2058.1287;0.0197;171134.897;1
He(2);468.5377;0.939;411477.8537;1.5
He(2);468.5407;0.491;411477.855;1.5
He(2);468.5704;2.06;411478.0973;2.5
He(2);468.5704;1.126;411478.0978;2.5
He(2);468.5804;2.207;411478.2193;3.5
Li(1);460.2831;0.223;36623.297;1.5
Li(1);460.2898;0.223;36623.312;2.5
Li(1);610.3542;0.686;31283.018;1.5
Li(1);610.3654;0.686;31283.053;2.5
Li(1);670.7775;0.369;14903.957;1.5
Li(1);670.7926;0.369;14903.622;0.5
Li(1);812.6232;0.349;27206.066;0.5
Li(1);812.6453;0.349;27206.066;0.5
Li(1);2687.767;0.038;30925.613;1.5
Li(1);2687.836;0.038;30925.517;0.5
Li(2);548.356;0.228;494265.57;0
Li(2);548.45;0.228;494262.48;2
Li(2);548.511;0.228;494260.32;1
Li(2);958.142;0.0518;501807.59;1
Be(1);234.861;5.53;42565.35;1
Be(1);249.4728;1.6;62053.72;3
Be(1);265.0454;4.24;59697.08;2
Be(1);265.055;4.24;59695.07;1
Be(1);265.0613;4.24;59695.07;1
Be(1);265.0619;4.24;59697.08;2
Be(1);265.0694;4.24;59693.65;0
Be(1);265.076;4.24;59695.07;1
Be(1);332.134;NaN;52080.94;1
Be(1);457.2664;0.79;64428.31;2
Be(1);825.407;NaN;54677.26;0
Be(2);313.0422;1.13;31935.32;1.5
Be(2);313.1067;1.13;31928.744;0.5
Be(2);436.0663;0.92;119421.18;1.5
Be(2);436.0988;1.1;119421.42;2.5
Be(2);467.3329;NaN;119446.59;2.5
Be(2);467.3423;NaN;119446.71;3.5
Be(2);527.0811;0.66;115464.38;0.5
B(1);208.8889;0.361;47857.127;1.5
B(1);208.957;0.432;47856.807;2.5
B(1);249.6769;0.837;40039.695;0.5
B(1);249.7722;1.67;40039.695;0.5
B(1);1166.0028;NaN;48613.655;1.5
B(1);1166.2452;NaN;48611.872;0.5
B(2);239.5048;NaN;144103.17;1
B(2);345.1303;0.54;102362.77;2
C(1);247.8561;0.34;61981.82;1
C(1);833.515;0.351;73975.91;0
C(1);940.573;0.291;72610.73;2
C(1);1175.332;0.263;78249.93;4
C(1);1175.476;0.24;78215.5;3
C(2);283.671;0.398;131735.52;1.5
C(2);283.7603;0.397;131724.37;0.5
C(2);391.8978;0.636;157234.07;0.5
C(2);392.0693;1.27;157234.07;0.5
C(2);426.7003;2.23;168978.34;2.5
C(2);426.7258;2.38;168978.34;3.5
C(2);657.805;0.363;131735.52;1.5
C(2);723.132;0.352;145549.27;1.5
C(2);723.642;0.422;145550.7;2.5
N(1);744.229;0.124;96750.84;1.5
N(1);746.831;0.193;96750.84;1.5
N(1);868.028;0.246;94881.82;3.5
N(1);868.34;0.18;94830.89;2.5
N(1);1246.962;0.228;104881.35;3.5
N(1);1358.133;0.0639;93581.55;0.5
N(2);399.5;1.35;174212.03;2
N(2);444.703;1.14;187091.37;2
N(2);463.054;0.772;170666.23;2
N(2);500.515;1.16;186652.49;4
N(2);567.956;0.525;166678.64;3
N(2);594.165;0.554;187491.9;3
N(2);648.205;0.301;164610.76;1
N(2);661.056;0.634;189335.16;3
O(1);777.194;0.369;86631.454;3
O(1);777.417;0.369;86627.778;2
O(1);777.539;0.369;86625.757;1
O(1);844.625;0.322;88631.303;0
O(1);844.636;0.322;88631.146;2
O(1);844.676;0.322;88630.587;1
O(1);926.601;0.445;97420.63;4
O(1);1316.389;0.0714;96225.049;1
O(1);1316.485;0.119;96225.049;1
O(2);313.472;1.23;238893.96;2.5
O(2);391.1957;1.09;232527.09;1.5
O(2);397.3256;1.02;214229.671;1.5
O(2);407.5862;1.98;231530.246;4.5
O(2);441.4905;0.847;211712.732;2.5
O(2);464.181;0.585;206877.865;2.5
O(2);464.9135;0.784;207002.482;3.5
Ne(1);352.0471;0.093;164285.8872;0
Ne(1);540.0562;0.009;152970.7328;0
Ne(1);585.2488;0.682;152970.7328;0
Ne(1);602.9997;0.0561;151038.4524;1
Ne(1);607.4338;0.603;150917.4307;0
Ne(1);614.3063;0.282;150315.8612;2
Ne(1);616.3594;0.146;151038.4524;1
Ne(1);621.7281;0.0637;150121.5922;1
Ne(1);626.6495;0.249;150772.1118;1
Ne(1);638.2992;0.321;150121.5922;1
Ne(1);640.2248;0.514;149657.0393;3
Ne(1);650.6528;0.3;149824.2215;2
Ne(1);659.8953;0.232;151038.4524;1
Ne(1);692.9467;0.174;150315.8612;2
Ne(1);703.2413;0.253;148257.7898;1
Ne(1);717.3938;0.0287;149824.2215;2
Ne(1);724.5167;0.0935;148257.7879;1
Ne(1);837.7608;0.51;161590.3412;4
Ne(1);865.4383;0.445;162410.1736;3
Ne(1);878.0623;NaN;161701.4486;3
Ne(1);878.3753;0.313;162419.9818;2
Ne(1);1114.302;NaN;158795.9924;1
Ne(1);1117.7524;NaN;158601.1152;2
Ne(1);1152.2746;NaN;159534.6196;1
Ne(2);302.7016;1.4;279218.66;2.5
Ne(2);302.8864;0.47;252953.54;1.5
Ne(2);319.8586;1.7;280700.77;3.5
Ne(2);332.3745;1.6;254165.01;1.5
Ne(2);337.8216;1.7;254292.19;0.5
Ne(2);376.6259;0.29;246192.45;2.5
Ne(2);377.7133;0.42;246415.04;1.5
Na(1);285.281;0.00554;35042.85;1.5
Na(1);285.301;0.00554;35040.38;0.5
